MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
7/15/2019,0.75,99.31,99.314,0.01,1.559
7/31/2019,0.875,99.29,99.294,0.008,2.108
7/31/2019,1.375,99.3,99.304,0.01,2.111
7/31/2019,1.625,99.304,99.31,0.008,2.112
8/15/2019,0.75,99.27,99.274,0.01,2.095
8/15/2019,3.625,100.044,100.05,0.004,2.112
8/15/2019,8.125,100.182,100.186,-0.012,2.462
8/31/2019,1,99.252,99.256,0.002,2.337
8/31/2019,1.25,99.262,99.266,0.002,2.371
8/31/2019,1.625,99.282,99.286,0.008,2.316
9/15/2019,0.875,99.234,99.24,0.004,2.215
9/30/2019,1,99.232,99.236,0.002,2.129
9/30/2019,1.375,99.252,99.256,0.002,2.229
9/30/2019,1.75,99.282,99.286,unch.,2.191
10/15/2019,1,99.222,99.226,0.006,2.075
10/31/2019,1.25,99.224,99.23,unch.,2.155
10/31/2019,1.5,99.246,99.252,-0.004,2.178
11/15/2019,1,99.192,99.196,0.006,2.092
11/15/2019,3.375,100.134,100.14,-0.002,2.12
11/30/2019,1,99.172,99.176,-0.002,2.134
11/30/2019,1.5,99.234,99.24,-0.002,2.135
11/30/2019,1.75,99.256,99.262,-0.006,2.206
12/15/2019,1.375,99.22,99.224,unch.,2.06
12/31/2019,1.125,99.164,99.17,unch.,2.115
12/31/2019,1.625,99.236,99.242,-0.004,2.136
12/31/2019,1.875,99.274,99.28,-0.008,2.128
1/15/2020,1.375,99.202,99.206,0.002,2.059
1/31/2020,1.25,99.17,99.174,-0.002,2.062
1/31/2020,1.375,99.192,99.196,-0.002,2.061
1/31/2020,2,99.3,99.304,-0.006,2.083
2/15/2020,1.375,99.18,99.184,-0.004,2.079
2/15/2020,3.625,100.292,100.296,-0.004,2.068
2/15/2020,8.5,103.272,103.276,-0.018,2.03
2/29/2020,1.25,99.152,99.156,unch.,2.043
2/29/2020,1.375,99.176,99.182,unch.,2.046
2/29/2020,2.25,100.036,100.042,unch.,2.04
3/15/2020,1.625,99.224,99.23,-0.002,2.038
3/31/2020,1.125,99.104,99.11,-0.008,2.035
3/31/2020,1.375,99.16,99.164,-0.006,2.046
3/31/2020,2.25,100.044,100.05,-0.008,2.031
4/30/2020,1.125,99.076,99.082,-0.01,2.05
4/30/2020,1.375,99.144,99.15,-0.006,2.037
4/30/2020,2.375,100.082,100.086,-0.008,2.032
5/15/2020,1.5,99.164,99.17,-0.016,2.056
5/15/2020,3.5,101.066,101.072,-0.018,2.04
5/15/2020,8.75,105.216,105.222,-0.038,1.98
5/31/2020,1.375,99.122,99.126,-0.018,2.055
5/31/2020,1.5,99.156,99.162,-0.018,2.056
5/31/2020,2.5,100.124,100.13,-0.018,2.039
6/15/2020,1.5,99.156,99.162,-0.024,2.032
6/30/2020,1.625,99.19,99.194,-0.022,2.03
6/30/2020,1.875,99.272,99.276,-0.018,2.013
6/30/2020,2.5,100.146,100.152,-0.018,2.005
7/15/2020,1.5,99.156,99.162,-0.016,1.99
7/31/2020,1.625,99.186,99.192,-0.024,2.005
7/31/2020,2,100,100.004,-0.014,1.985
7/31/2020,2.625,100.2,100.204,-0.024,2.013
8/15/2020,1.5,99.142,99.146,-0.028,1.995
8/15/2020,2.625,100.216,100.222,-0.024,1.985
8/15/2020,8.75,107.096,107.102,-0.048,2.015
8/31/2020,1.375,99.096,99.102,-0.026,1.977
8/31/2020,2.125,100.044,100.05,-0.03,1.986
8/31/2020,2.625,100.226,100.232,-0.03,1.98
9/15/2020,1.375,99.09,99.094,-0.034,1.976
9/30/2020,1.375,99.076,99.082,-0.038,1.988
9/30/2020,2,100.002,100.006,-0.04,1.98
9/30/2020,2.75,100.29,100.294,-0.72,1.986
10/15/2020,1.625,99.172,99.176,-0.042,1.981
10/31/2020,1.375,99.066,99.072,-0.044,1.974
10/31/2020,1.75,99.216,99.222,-0.046,1.986
10/31/2020,2.875,101.042,101.046,-0.048,1.983
11/15/2020,1.75,99.22,99.224,-0.046,1.973
11/15/2020,2.625,100.272,100.276,-0.728,1.971
11/30/2020,1.625,99.166,99.172,-0.048,1.961
11/30/2020,2,100.01,100.014,-0.046,1.965
11/30/2020,2.75,101.02,101.024,-0.05,1.963
12/15/2020,1.875,99.276,99.282,-0.734,1.958
12/31/2020,1.75,99.222,99.226,-0.052,1.949
12/31/2020,2.375,100.19,100.194,-0.054,1.955
12/31/2020,2.5,100.246,100.252,-0.054,1.956
1/15/2021,2,100.02,100.024,-0.052,1.947
1/31/2021,1.375,99.036,99.042,-0.054,1.941
1/31/2021,2.125,100.084,100.09,-0.056,1.941
1/31/2021,2.5,100.266,100.272,-0.738,1.944
2/15/2021,2.25,100.154,100.16,-0.058,1.932
2/15/2021,3.625,102.202,102.206,-0.064,1.94
2/15/2021,7.875,109.09,109.094,-0.074,1.961
2/28/2021,1.125,98.216,98.222,-0.058,1.933
2/28/2021,2,100.032,100.036,-0.054,1.927
2/28/2021,2.5,100.292,100.296,-0.738,1.923
3/15/2021,2.375,100.24,100.244,-0.056,1.911
3/31/2021,1.25,98.272,98.276,-0.74,1.919
3/31/2021,2.25,100.174,100.18,-0.062,1.917
4/15/2021,2.375,100.254,100.26,-0.062,1.905
4/30/2021,1.375,99.014,99.02,-0.062,1.903
4/30/2021,2.25,100.192,100.196,-0.064,1.901
5/15/2021,2.625,101.096,101.102,-0.068,1.896
5/15/2021,3.125,102.066,102.072,-0.066,1.896
5/15/2021,8.125,111.052,111.056,-0.082,1.951
5/31/2021,1.375,99.006,99.012,-0.066,1.893
5/31/2021,2,100.056,100.062,-0.068,1.894
5/31/2021,2.125,100.134,100.14,-0.068,1.889
6/15/2021,2.625,101.132,101.136,-0.068,1.87
6/30/2021,1.125,98.172,98.176,-0.064,1.873
6/30/2021,1.625,99.17,99.174,-0.066,1.859
6/30/2021,2.125,100.152,100.156,-0.068,1.87
7/15/2021,2.625,101.15,101.154,-0.066,1.872
7/31/2021,1.125,98.152,98.156,-0.068,1.873
7/31/2021,2.25,100.234,100.24,-0.072,1.878
8/15/2021,2.125,100.162,100.166,-0.068,1.87
8/15/2021,2.75,101.252,101.256,-0.754,1.871
8/15/2021,8.125,112.224,112.23,-0.776,1.929
8/31/2021,1.125,98.14,98.144,-0.07,1.863
8/31/2021,2,100.08,100.084,-0.074,1.873
9/15/2021,2.75,101.292,101.296,-0.762,1.845
9/30/2021,1.125,98.126,98.132,-0.078,1.854
9/30/2021,2.125,100.176,100.182,-0.08,1.862
10/15/2021,2.875,102.074,102.08,-0.086,1.858
10/31/2021,1.25,98.196,98.202,-0.08,1.856
10/31/2021,2,100.102,100.106,-0.08,1.85
11/15/2021,2,100.116,100.122,-0.086,1.833
11/15/2021,2.875,102.104,102.11,-0.088,1.852
11/15/2021,8,113.29,113.294,-0.79,1.919
